player,role,sold_price_cr,2023_squad,team,base_price_cr,status
Rajan Kumar,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Avesh Khan,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Rovman Powell,BATTER,7.4,DC,Rajasthan Royals,1.0,sold
Shubham Dubey,BATTER,5.8,Not Mentioned,Rajasthan Royals,0.2,sold
Nandre Burger,BOWLER,0.5,Not Mentioned,Rajasthan Royals,0.5,sold
Tom Kohler-Cadmore,WICKETKEEPER,0.4,Not Mentioned,Rajasthan Royals,0.4,sold
Abid Mushtaq,ALL-ROUNDER,0.2,Not Mentioned,Rajasthan Royals,0.2,sold
Sanju Samson,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Jos Buttler,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Shimron Hetmyer,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Yashasvi Jaiswal,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Dhruv Jurel,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Riyan Parag,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Donovan Ferreira,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Kunal Rathore,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Ravichandran Ashwin,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Kuldeep Sen,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Navdeep Saini,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Prasidh Krishna,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Sandeep Sharma,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Trent Boult,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Yuzvendra Chahal,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Adam Zampa,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Shahbaz Ahmed,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Pat Cummins,ALL-ROUNDER,20.5,Not Mentioned,Sunrisers Hyderabad,2.0,sold
Travis Head,BATTER,6.8,Not Mentioned,Sunrisers Hyderabad,2.0,sold
Jaydev Unadkat,BOWLER,1.6,LSG,Sunrisers Hyderabad,0.5,sold
Wanindu Hasaranga,ALL-ROUNDER,1.5,RCB,Sunrisers Hyderabad,1.5,sold
Akash Singh,BOWLER,0.2,CSK,Sunrisers Hyderabad,0.2,sold
Jhathavedh Subramanyan,BOWLER,0.2,Not Mentioned,Sunrisers Hyderabad,0.2,sold
Abdul Samad,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Aiden Markram,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Rahul Tripathi,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Glenn Phillips,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Heinrich Klaasen,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Mayank Agarwal,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Anmolpreet Singh,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Upendra Singh Yadav,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Nitish Kumar Reddy,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Abhishek Sharma,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Marco Jansen,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Washington Sundar,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Sanvir Singh,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Bhuvneshwar Kumar,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
T Natarajan,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Mayank Markande,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Umran Malik,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Fazalhaq Farooqi,UNKNOWN,0.0,Not Mentioned,Sunrisers Hyderabad,0.0,unsold
Karun Nair,BATTER,0.0,LSG,Unsold,0.5,unsold
Steve Smith,BATTER,0.0,Not Mentioned,Unsold,2.0,unsold
Josh Inglis,WICKETKEEPER,0.0,Not Mentioned,Unsold,2.0,unsold
Kusal Mendis,WICKETKEEPER,0.0,Not Mentioned,Unsold,0.5,unsold
Philip Salt,WICKETKEEPER,0.0,DC,Unsold,1.5,unsold
Josh Hazlewood,BOWLER,0.0,RCB,Unsold,2.0,unsold
Akeal Hosein,BOWLER,0.0,SRH,Unsold,0.5,unsold
Adil Rashid,BOWLER,0.0,SRH,Unsold,2.0,unsold
Mohammad Waqar Salamkheil,BOWLER,0.0,Not Mentioned,Unsold,0.5,unsold
Tabraiz Shamsi,BOWLER,0.0,Not Mentioned,Unsold,0.5,unsold
Ish Sodhi,BOWLER,0.0,Not Mentioned,Unsold,0.75,unsold
Priyansh Arya,BATTER,0.0,Not Mentioned,Unsold,0.2,unsold
Rohan Kunnummal,BATTER,0.0,Not Mentioned,Unsold,0.2,unsold
Manan Vohra,BATTER,0.0,LSG,Unsold,0.2,unsold
Raj Angad Bawa,ALL-ROUNDER,0.0,PBKS,Unsold,0.2,unsold
Sarfaraz Khan,ALL-ROUNDER,0.0,DC,Unsold,0.2,unsold
Vivrant Sharma,ALL-ROUNDER,0.0,SRH,Unsold,0.2,unsold
Atit Sheth,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.2,unsold
Hrithik Shokeen,ALL-ROUNDER,0.0,MI,Unsold,0.2,unsold
Urvil Patel,WICKETKEEPER,0.0,GT,Unsold,0.2,unsold
Vishnu Solanki,WICKETKEEPER,0.0,Not Mentioned,Unsold,0.2,unsold
Ishan Porel,BOWLER,0.0,Not Mentioned,Unsold,0.2,unsold
Kuldip Yadav,BOWLER,0.0,RR,Unsold,0.2,unsold
Murgan Ashwin,BOWLER,0.0,RR,Unsold,0.2,unsold
Pulkit Narang,BOWLER,0.0,Not Mentioned,Unsold,0.2,unsold
Shiva Singh,BOWLER,0.0,Not Mentioned,Unsold,0.2,unsold
Finn Allen,BATTER,0.0,RCB,Unsold,0.75,unsold
Alick Athanaze,BATTER,0.0,Not Mentioned,Unsold,0.5,unsold
Mark Chapman,BATTER,0.0,Not Mentioned,Unsold,0.5,unsold
Samuel Hain,BATTER,0.0,Not Mentioned,Unsold,0.5,unsold
Reeza Hendricks,BATTER,0.0,Not Mentioned,Unsold,0.5,unsold
Brandon King,BATTER,0.0,Not Mentioned,Unsold,0.5,unsold
Colin Munro,BATTER,0.0,Not Mentioned,Unsold,1.5,unsold
Rassie Van Der Dussen,BATTER,0.0,Not Mentioned,Unsold,2.0,unsold
James Vince,BATTER,0.0,Not Mentioned,Unsold,2.0,unsold
Ibrahim Zadran,BATTER,0.0,Not Mentioned,Unsold,0.5,unsold
Najibullah Zadran,BATTER,0.0,Not Mentioned,Unsold,0.5,unsold
Sean Abbott,ALL-ROUNDER,0.0,Not Mentioned,Unsold,2.0,unsold
Ashton Agar,ALL-ROUNDER,0.0,Not Mentioned,Unsold,1.0,unsold
Wesley Agar,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
Qais Ahamad,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
Rehan Ahmed,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
Fabian Allen,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.75,unsold
Charith Asalanka,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
Michael Bracewell,ALL-ROUNDER,0.0,RCB,Unsold,1.0,unsold
Brydon Carse,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
Ben Cutting,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
Matthew Forde,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
George Garton,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
Jason Holder,ALL-ROUNDER,0.0,RR,Unsold,1.5,unsold
George Linde,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
Keshav Maharaj,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
Wiaan Mulder,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.5,unsold
James Neesham,ALL-ROUNDER,0.0,Not Mentioned,Unsold,1.5,unsold
Jamie Overton,ALL-ROUNDER,0.0,Not Mentioned,Unsold,2.0,unsold
Keemo Paul,ALL-ROUNDER,0.0,Not Mentioned,Unsold,0.75,unsold
